objectID,accessionNumber,artistDisplayName,title,objectDate,medium,dimensions,measurements.Height,measurements.Width,department,primaryImage
435711,87.15.97,Léon Bonnat,An Egyptian Peasant Woman and Her Child,1869–70,Oil on canvas,73 1/2 x 41 1/2 in. (186.7 x 105.4 cm),186.7,105.4,European Paintings,https://images.metmuseum.org/CRDImages/ep/original/DT234058.jpg
435713,1972.261,Paulus Bor,The Disillusioned Medea,ca. 1640,Oil on canvas,61 1/4 x 44 1/4 in. (155.6 x 112.4 cm),155.6,112.4,European Paintings,https://images.metmuseum.org/CRDImages/ep/original/DP120565.jpg
435714,49.7.38,Gerard ter Borch the Younger,Curiosity,ca. 1660–62,Oil on canvas,30 x 24 1/2 in. (76.2 x 62.2 cm),76.2,62.2,European Paintings,https://images.metmuseum.org/CRDImages/ep/original/DP145405.jpg
435715,89.15.15,Gerard ter Borch the Younger,Portrait of a Seated Man,late 1650s or early 1660s,Oil on wood,14 1/8 x 12 in. (35.9 x 30.5 cm),35.9,30.5,European Paintings,https://images.metmuseum.org/CRDImages/ep/original/DP136269.jpg
435716,1982.60.30,Gerard ter Borch the Younger,The Van Moerkerken Family,ca. 1653–54,Oil on wood,16 1/4 x 14 in. (41.3 x 35.6 cm),41.3,35.6,European Paintings,https://images.metmuseum.org/CRDImages/ep/original/DP146463.jpg
435717,14.40.617,Gerard ter Borch the Younger,A Woman Playing the Theorbo-Lute and a Cavalier,ca. 1658,Oil on wood,14 1/2 x 12 3/4 in. (36.8 x 32.4 cm),36.8,32.4,European Paintings,https://images.metmuseum.org/CRDImages/ep/original/DP145907.jpg
435718,17.190.10,Gerard ter Borch the Younger,A Young Woman at Her Toilet with a Maid,ca. 1650–51,Oil on wood,18 3/4 x 13 5/8 in. (47.6 x 34.6 cm),47.6,34.6,European Paintings,https://images.metmuseum.org/CRDImages/ep/original/DP145397.jpg
435719,95.14.51,Joseph Bordes,Portrait of a Woman,1808,Ivory,"Octagonal, 4 1/8 x 3 1/8 in. (106 x 80 mm)",10.5,7.9,European Paintings,https://images.metmuseum.org/CRDImages/ep/original/DP-31473-001.jpg
435720,95.14.86,Joseph Bordes,Portrait of a Woman,1812,Ivory,"Oval, 4 x 3 1/8 in. (104 x 82 mm)",10.2,7.9,European Paintings,https://images.metmuseum.org/CRDImages/ep/original/DP-43803-001.jpg
435721,95.14.83,Joseph Bordes,Portrait of a Man,ca. 1810,Ivory set into card,"Oval, 7 1/8 x 5 7/8 in. (181 x 149 mm)",18.1,14.9,European Paintings,https://images.metmuseum.org/CRDImages/ep/original/ep95.14.83.R.jpg
435722,1973.311.1,Paris Bordon,Portrait of a Man in Armor with Two Pages,,Oil on canvas,46 x 62 in. (116.8 x 157.5 cm),116.8,157.5,European Paintings,https://images.metmuseum.org/CRDImages/ep/original/DP-17629-001.jpg
435723,32.100.12,Anthonie van Borssom,Barnyard Scene,ca. 1650–55,Oil on canvas,20 x 27 in. (50.8 x 68.6 cm),50.8,68.6,European Paintings,https://images.metmuseum.org/CRDImages/ep/original/DP143172.jpg
435724,13.26,Hieronymus Bosch,The Adoration of the Magi,ca. 1475,Oil and gold on oak,28 x 22 1/4in. (71.1 x 56.5cm),71.1,56.5,European Paintings,https://images.metmuseum.org/CRDImages/ep/original/DP372687.jpg
435727,1991.445,Giuseppe Bottani,The Departure of Saints Paula and Eustochium for the Holy Land,,Oil on canvas,38 3/4 x 22 1/2 in. (98.4 x 57.2 cm),98.4,57.2,European Paintings,https://images.metmuseum.org/CRDImages/ep/original/DP-22845-001.jpg
