objectID,accessionNumber,artistDisplayName,title,objectDate,medium,dimensions,measurements.Height,measurements.Width,department,primaryImage
51798,52.198,Jiang Jun,Buddha Seated on Lotus Throne,,Hanging scroll; ink and color on silk,"34 x 18 7/8in. (86.4 x 47.9cm)
Image: 33 7/8 × 19 1/2 in. (86 × 49.5 cm)
Overall with mounting: 47 1/2 × 27 in. (120.7 × 68.6 cm)",86.04267,49.530098,Asian Art,https://images.metmuseum.org/CRDImages/as/original/52_198_O1_sf.jpg
51800,53.150,Qian Gong,Gathering at the Orchid Pavilion,dated 1607,Handscroll; ink on figured damask,13 1/2 x 182 1/4 in. (34.3 x 462.9 cm),34.3,462.9,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP203126_CRD.jpg
51809,55.15.1,Unidentified artist,Twenty-four Paragons of Filial Piety,19th century,"Album of fifty-one leaves of paintings and calligraphy; ink, wash and color on paper",13 3/4 x 9 5/9 in. (34.9 x 24.3 cm),34.9,24.3,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP159715_crd.jpg
51810,55.37,Unidentified artist,Twenty-five bust portraits of famous scholars,16th or 17th century,Handscroll; ink and color on paper,11 1/4 x 123 3/4 in. (28.6 x 314.3 cm),28.6,314.3,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP204105_CRD.jpg
51811,55.139.1,Unidentified artist,Using Muffle Stoves for the Firing of Porcelain in a Cantonese Workshop,ca. 1830,Watercolor on paper,15 1/8 x 19 1/4 in. (38.4 x 48.9 cm),38.4,48.9,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP-32411-001.jpg
51812,55.155.1,Unidentified artist,"Shide, the Buddhist Hermit",,Framed painting; ink and color on silk,61 1/2 x 23 3/4in. (156.2 x 60.3cm),156.2,60.3,Asian Art,https://images.metmuseum.org/CRDImages/as/original/55_155_1_O2_sf.jpg
51813,55.215,Unidentified artist,Portrait scroll of seven generations of the same family,18th or 19th century,Handscroll; ink and color on silk,13 x 175 3/8 in. (33 x 445.5 cm),33.0,445.5,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP204032_CRD.jpg
51823,57.109a–q,Unidentified artist,Collection of Paintings showing Military Officials,,Set of seventeen paintings tied together; watercolor on paper,10 1/16 x 6 3/4 in. (25.6 x 17.1 cm),25.6,17.1,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP154448.jpg
51824,57.111,Unidentified artist,Nine Guardian Kings,,Hanging scroll; ink and color on paper,77 1/2 x 39 5/8 in. (196.9 x 100.6 cm),196.9,100.6,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP-33162-002.jpg
51825,57.112,Unidentified artist,Nine Guardian Kings,,Hanging scroll; ink and color on paper,77 1/2 x 39 5/8 in. (196.9 x 100.6 cm),196.9,100.6,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP-33163-002.jpg
