objectID,accessionNumber,objectName,title,department,primaryImage,artistDisplayName,objectDate,medium,dimensions,measurements.Height,measurements.Width
39810,1998.48,Hanging scroll,Bird peddler,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DT271148.jpg,Unidentified artist,late 15th–early 16th century,Hanging scroll; ink and color on silk,"Image: 63 1/4 x 38 3/4 in. (160.7 x 98.4 cm)
Overall with mounting: 9 ft. 6 5/8 in. × 46 3/8 in. (291.1 × 117.8 cm)
Overall with knobs: 9 ft. 6 5/8 in. × 50 1/2 in. (291.1 × 128.3 cm)",160.6553,98.4252
39881,13.5,Hanging scroll,Amitabha and Kshitigarba,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP-13944-002.jpg,Unidentified artist,first half of the 14th century,Hanging scroll; ink and color on silk,"Image: 37 1/4 × 21 7/8 in. (94.6 × 55.6 cm)
Overall with mounting: 72 3/8 × 29 5/8 in. (183.8 × 75.2 cm)
Overall with knobs: 72 3/8 × 31 3/4 in. (183.8 × 80.6 cm)",94.6152,55.6
39882,30.76.298,Hanging scroll,Amitabha triad,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP-15580-031.jpg,Unidentified artist,ca. 13th century,"Hanging scroll; ink, color and gold on silk","Image: 45 1/4 x 23 1/4 in. (114.9 x 59.1 cm)
Overall with mounting: 83 1/4 x 31 1/2 in. (211.5 x 80 cm)
Overall with knobs: 83 1/4 x 34 in. (211.5 x 86.4 cm)",114.9352,59.0551
39883,29.160.32,Hanging scroll,Kshitigarbha,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP-13942-002.jpg,Unidentified artist,first half of the 14th century,"Hanging scroll; ink, color, and gold on silk","Image: 33 1/4 × 14 1/2 in. (84.5 × 36.8 cm)
Overall with mounting: 79 × 25 3/8 in. (200.7 × 64.5 cm)
Overall with knobs: 79 × 27 1/4 in. (200.7 × 69.2 cm)",84.45517,36.830074
39887,21.57,Hanging scroll,Brahma with Attendants and Musicians,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DT5233.jpg,Unidentified artist,late 16th century,Hanging scroll; ink and color on hemp,"Image: 85 × 87 in. (215.9 × 221 cm)
Overall with mounting: 132 × 97 in. (335.3 × 246.4 cm)
Overall with knobs: 132 × 101 3/4 in. (335.3 × 258.4 cm)",215.90044,220.98044
39888,1992.337,Hanging scroll,Wild geese descending to sandbar,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DT6930.jpg,Unidentified artist,late 15th–early 16th century,Hanging scroll; ink on silk,"Image: 49 3/4 × 19 1/4 in. (126.4 × 48.9 cm)
Overall with mounting: 91 3/4 × 24 1/2 in. (233 × 62.2 cm)
Overall with knobs: 91 3/4 × 27 1/4 in. (233 × 69.2 cm)",126.36525,48.8951
39889,59.19,Hanging scroll,Portrait of the Great Master Seosan,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP-37468-002.jpg,Unidentified artist,late 17th–18th century,Hanging scroll; ink and color on silk,"Image: 59 7/8 x 30 5/8 in. (152.1 x 77.8 cm)
Overall with mounting: 88 1/2 x 37 1/8 in. (224.8 x 94.3 cm)
Overall with knobs: 88 1/2 x 40 1/8 in. (224.8 x 101.9 cm)",152.08281,77.78766
39890,"1992.166.1a, b",Rubbing,"Inscriptions on the Stone Drums (Eastern Zhou dynasty, 5th century BCE)",Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP363290.jpg,Unidentified artist,17th century,Set of rubbings in ten sections mounted as a pair of handscrolls; ink on paper,"Image (scroll a): 16 1/2 × 257 1/4 in. (41.9 × 653.4 cm)
Image (scroll b): 16 3/4 × 265 5/8 in. (42.5 × 674.7 cm)
Overall with mounting (each) H. 17 3/4 in. (45.1 cm)",41.9101,53.3401
39894,1998.161,Painting,Maharana Amar Singh II with Ladies of the Zenana outside the Picture Hall at Rajnagar,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DT4284.jpg,Stipple Master,ca. 1707–8,"Opaque watercolor, ink and gold on paper","Image: 9 1/2 × 7 5/16 in. (24.1 × 18.6 cm)
Sheet: 18 7/8 × 14 7/8 in. (47.9 × 37.8 cm)",24.130049,18.573788
39895,1996.479a–c,Handscrolls,The Classic of Filial Piety,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP151528.jpg,Li Gonglin,ca. 1085,Handscroll; ink and color on silk,"Overall (a, painting): 8 5/8 x 187 1/4 in. (21.9 x 475.6 cm)
Overall (b, colophons): 10 3/8 x 208 5/8 in. (26.4 x 529.9 cm)
Overall (c, modern copy preserving seventeenth century silk restorations): 9 1/8 x 196 in. (23.2 x 497.8 cm)",21.9,475.6
39901,1977.78,Handscroll,Night-Shining White,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP153705.jpg,Han Gan,ca. 750,Handscroll; ink on paper,"Image: 12 1/8 x 13 3/8 in. (30.8 x 34 cm)
Overall with mounting: 14 in. x 37 ft. 5 1/8 in. (35.4 cm x 11.4 m)",30.8,34.0
39906,30.32.6,Wall painting,Buddha,Asian Art,https://images.metmuseum.org/CRDImages/as/original/30_32_6.jpg,,ca. 6th century,Water-based pigment on mud plaster,11 3/4 x 8 1/2 in. (29.8 x 21.6 cm),29.8,21.6
39913,27.24,Handscroll,Raising the Alms-Bowl,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP200464_CRD.jpg,unidentified artist,17th–18th century,"Handscroll; ink, color, and gold on paper",10 3/4 x 41 3/4 in. (27.3 x 106 cm),27.3,106.0
39914,1989.363.2,Handscroll,"Samyutagama Sutra, chapter 25, from the Jinsushan Tripitaka",Asian Art,https://images.metmuseum.org/CRDImages/as/original/1989_363_2_sec01_CRD.jpg,Unidentified artist,datable to 1060s–1080s,Handscroll; ink on paper,"Image: 9 5/8 in. × 21 ft. 8 3/4 in. (24.4 × 662.3 cm)
Overall with mounting: 9 7/8 in. × 23 ft. 11 13/16 in. (25.1 × 731 cm)",24.4,662.3063
39915,1973.120.1,Handscroll,Summer Mountains,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP226465.jpg,Qu Ding,ca. 1050,Handscroll; ink and color on silk,"Image: 17 7/8 × 45 3/8 in. (45.4 × 115.3 cm)
Overall with mounting: 18 1/4 in. × 23 ft. 2 in. (46.4 × 706.1 cm)",45.4,115.25273
39916,17.136a–r,Album leaves,"Frontispiece and Colophons to the Album ""Five Old Men of Suiyang""",Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP164581.jpg,Various Scholars,,Album of fifteen leaves; ink on paper,Overall with mounting (each double leaves): 19 x 32 in. (48.3 x 81.3 cm),48.3,40.6
39917,1989.363.3,Hanging scroll mounted as handscroll,Bamboo,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP144239_CRD.jpg,Unidentified artist,,Hanging scroll mounted as a handscroll; ink on paper,"Image: 21 3/8 in. × 13 in. (54.3 × 33 cm)
Overall with mounting: 14 3/4 in. × 34 ft. 10 3/16 in. (37.5 × 1062.2 cm)",54.3,33.0201
39918,1989.363.4,Handscroll,Biographies of Lian Po and Lin Xiangru,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP153769.jpg,Huang Tingjian,ca. 1095,Handscroll; ink on paper,"Image: 13 1/4 in. × 60 ft. 4 1/2 in. (33.7 × 1840.2 cm)
Overall with mounting: 13 1/2 in. × 71 ft. 5 5/8 in. (34.3 × 2178.4 cm)",33.7,1840.2336
39919,1984.174,Handscroll,Poem Written in a Boat on the Wu River,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP118649_CRD.jpg,Mi Fu,ca. 1095,Handscroll; ink on paper,12 1/4 in. × 18 ft. 3 1/4 in. (31.1 × 556.9 cm),31.1,556.9
39920,1973.121.2,Handscroll,River Village in Autumn Dawn,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP165233_CRD.jpg,Zhao Lingrang,13th century,Handscroll; ink and color on silk,Image: 9 5/16 x 41 in. (23.7 x 104.1 cm),23.7,104.1
39931,1989.142a–l,Album,Landscapes,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP160517.jpg,Dai Benxiao,late 17th century,Album of twelve leaves; ink on paper,Each: 8 7/16 × 6 9/16 in. (21.4 × 16.7 cm),21.4,16.7
39933,1975.268.9,Hanging scroll,Iconographic Drawing of a Rainmaking Mandala,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP276179.jpg,,12th century,Hanging scroll; ink on paper,"Image: 23 3/8 × 20 3/8 in. (59.4 × 51.8 cm)
Overall with mounting: 59 3/8 × 25 3/8 in. (150.8 × 64.5 cm)
Overall with knobs: 59 3/8 × 27 3/4 in. (150.8 × 70.5 cm)",59.37262,51.7526
39935,40.148,Handscroll,Palace ladies bathing children,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP214285_CRD.jpg,Unidentified artist,11th century,Handscroll; ink and color on silk,"Image: 12 × 19 1/8 in. (30.5 × 48.6 cm)
Overall with mounting: 12 7/16 × 44 in. (31.6 × 111.8 cm)",30.5,48.6
39936,1981.278,Handscroll,Finches and bamboo,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP151504_CRD.jpg,Emperor Huizong,early 12th century,Handscroll; ink and color on silk,"Image: 13 1/4 × 21 13/16 in. (33.7 × 55.4 cm)
Overall with mounting: 13 3/4 in. × 27 ft. 6 5/16 in. (34.9 × 839 cm)",33.7,55.403862
39937,13.100.110,Album leaf,Fish at play,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP153501.jpg,Zhao Kexiong,12th–late 13th century,Album leaf; ink and color on silk,Image: 8 7/8 x 9 7/8 in. (22.5 x 25.1 cm),22.5425,25.0826
39938,1982.3.1,Handscroll,Stag Hunt,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP204851_CRD.jpg,Huang Zongdao,,Handscroll; ink and color on paper,"Image: 9 11/16 × 31 1/16 in. (24.6 × 78.9 cm)
Overall with mounting: 10 1/8 in. × 22 ft. 7 1/4 in. (25.7 × 689 cm)",24.6,78.8989
39956,29.100.520,Screen,Freestanding Screen with Dancer,Asian Art,https://images.metmuseum.org/CRDImages/as/original/29_100_520.JPG,,17th century,"Ink, color, and gold on gilt paper, mounted on a lacquered screen",20 x 16 15/16 in. (50.8 x 43.1 cm),50.8,43.1
39958,47.18.2,Handscroll,The Vimalakirti Sutra,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP212868_CRD.jpg,Unidentified artist,"dated January 13, 1119",Handscroll; gold and silver on purple silk,11 in. × 26 ft. 7/8 in. (27.9 × 794.7 cm),,62.2301
39959,1982.1.1,Handscroll,A Diplomatic Mission to the Jin,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP165265_CRD.jpg,Yang Bangji,ca. late 1150s,Handscroll; ink and color on silk,"Image: 10 1/2 in. × 56 in. (26.7 × 142.2 cm)
Overall with mounting: 11 5/8 in. × 26 ft. 11 3/4 in. (29.5 × 822.3 cm)",26.7,142.2403
39993,1991.378,Hanging scroll,Crane in a bamboo grove,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP235494.jpg,Unidentified artist,14th–early 15th century,Hanging scroll; ink and color on silk,"Image: 65 5/16 x 39 11/16 in. (165.9 x 100.8 cm)
Overall with mounting: 65 5/16 x 39 11/16 in. (165.9 x 100.8 cm)
Overall with knobs: 118 1/4 x 49 1/2 in. (300.4 x 125.7 cm)",165.8941,100.8065
39995,30.32.95,Wall painting,Buddha with a Halo and Flaming Body Mandorla,Asian Art,https://images.metmuseum.org/CRDImages/as/original/ASA244.jpg,,6th–7th century,Water-based pigments on wood,15 1/2 x 9 1/4 x 3/4 in. (39.4 x 23.5 x 1.9 cm),39.4,23.5
40002,56.151,Hanging scroll,Landscape in the style of Fan Kuan,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP165244.jpg,Unidentified artist,early 12th century,Hanging scroll; ink and color on silk,"Image: 65 3/8 × 41 1/8 in. (166.1 × 104.5 cm)
Overall with mounting: 9 ft. 8 1/2 in. × 49 3/4 in. (295.9 × 126.4 cm)
Overall with knobs: 9 ft. 8 1/2 in. × 53 3/4 in. (295.9 × 136.5 cm)",166.1,104.45771
40003,1972.121,Hanging scroll,Travelers in a Wintry Forest,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP154079.jpg,Unidentified artist,early 12th century,Hanging scroll; ink and color on silk,"Image: 63 3/4 × 39 1/2 in. (161.9 × 100.3 cm)
Overall with mounting: 10 ft. 3 1/2 in. × 49 in. (313.7 × 124.5 cm)
Overall with knobs: 10 ft. 3 1/2 in. × 53 3/8 in. (313.7 × 135.6 cm)",161.9,100.3302
