objectID,artistDisplayName,title,objectDate,medium,dimensions,department,img_id,img_url,img_area,eye_count
856950,Unidentified,Ardanarishvara; woman holding a flywhisk.,ca. 1800,Ink and wash on J. Whatman paper watermarked 1798,"Sheet (folded): 16 1/8 × 10 1/16 in. (41 × 25.5 cm)
Sheet: 16 1/8 × 20 1/8 in. (41 × 51.1 cm)",Asian Art,856950_000,https://raw.githubusercontent.com/acervos-digitais/met-faces-data/refs/heads/main/image/eyes-color-aligned-01/856950_000.avif,1290,1
857953,Watanabe Seitei 渡辺省亭,Seven Beauties of the Bamboo Grove,early 20th century,"Hanging scroll; ink, color, and possibly lacquer on silk",Image: 64 9/16 × 33 7/8 in. (164 × 86 cm),Asian Art,857953_000,https://raw.githubusercontent.com/acervos-digitais/met-faces-data/refs/heads/main/image/eyes-color-aligned-01/857953_000.avif,2275,3
857953,Watanabe Seitei 渡辺省亭,Seven Beauties of the Bamboo Grove,early 20th century,"Hanging scroll; ink, color, and possibly lacquer on silk",Image: 64 9/16 × 33 7/8 in. (164 × 86 cm),Asian Art,857953_001,https://raw.githubusercontent.com/acervos-digitais/met-faces-data/refs/heads/main/image/eyes-color-aligned-01/857953_001.avif,2010,3
857953,Watanabe Seitei 渡辺省亭,Seven Beauties of the Bamboo Grove,early 20th century,"Hanging scroll; ink, color, and possibly lacquer on silk",Image: 64 9/16 × 33 7/8 in. (164 × 86 cm),Asian Art,857953_003,https://raw.githubusercontent.com/acervos-digitais/met-faces-data/refs/heads/main/image/eyes-color-aligned-01/857953_003.avif,3458,2
857953,Watanabe Seitei 渡辺省亭,Seven Beauties of the Bamboo Grove,early 20th century,"Hanging scroll; ink, color, and possibly lacquer on silk",Image: 64 9/16 × 33 7/8 in. (164 × 86 cm),Asian Art,857953_005,https://raw.githubusercontent.com/acervos-digitais/met-faces-data/refs/heads/main/image/eyes-color-aligned-01/857953_005.avif,2730,3
858236,"Tirupati School, South India","Vishnu Venkateshvara, Lord of Tirupati",late 18th century,Opaque watercolor and hand-colored silver on paper,Image: 10 5/8 × 7 5/16 in. (27 × 18.6 cm),Asian Art,858236_001,https://raw.githubusercontent.com/acervos-digitais/met-faces-data/refs/heads/main/image/eyes-color-aligned-01/858236_001.avif,9983,2
858237,"Tirupati School, South India","Krishna Rajagopalaswamy, king of the cowherds",late 18th century,Opaque watercolor and hand-colored silver on paper,Image: 10 9/16 × 7 1/2 in. (26.8 × 19 cm),Asian Art,858237_000,https://raw.githubusercontent.com/acervos-digitais/met-faces-data/refs/heads/main/image/eyes-color-aligned-01/858237_000.avif,50283,2
858237,"Tirupati School, South India","Krishna Rajagopalaswamy, king of the cowherds",late 18th century,Opaque watercolor and hand-colored silver on paper,Image: 10 9/16 × 7 1/2 in. (26.8 × 19 cm),Asian Art,858237_001,https://raw.githubusercontent.com/acervos-digitais/met-faces-data/refs/heads/main/image/eyes-color-aligned-01/858237_001.avif,7020,2
871866,Ikeda Shōen,Calligraphy Practice (Tenarai),1909,"Two-panel screen; ink, color, and gold on silk","Image: 50 × 56 5/16 in. (127 × 143 cm)
Overall: 67 × 69 1/2 in. (170.2 × 176.5 cm)",Asian Art,871866_000,https://raw.githubusercontent.com/acervos-digitais/met-faces-data/refs/heads/main/image/eyes-color-aligned-01/871866_000.avif,6156,2
871866,Ikeda Shōen,Calligraphy Practice (Tenarai),1909,"Two-panel screen; ink, color, and gold on silk","Image: 50 × 56 5/16 in. (127 × 143 cm)
Overall: 67 × 69 1/2 in. (170.2 × 176.5 cm)",Asian Art,871866_001,https://raw.githubusercontent.com/acervos-digitais/met-faces-data/refs/heads/main/image/eyes-color-aligned-01/871866_001.avif,9078,1
